DateTime,Entries,UniqueIPs
1575232363,42,42
1575234309,41,41
1575238594,39,39
1575240776,37,37
1575242678,36,36
1575244583,35,35
1575246754,31,31
1575250603,29,29
1575252498,28,28
1575254418,23,23
1575256366,25,25
1575258268,27,27
1575260219,29,29
1575262101,30,30
1575264022,30,30
1575267865,33,33
1575271697,34,34
1575274589,34,34
1575276523,32,32
1575278413,32,32
1575282252,33,33
1575284253,34,34
1575288992,35,35
1575291154,36,36
1575293061,33,33
1575295010,34,34
1575296898,32,32
1575298913,35,35
1575300798,34,34
1575302710,35,35
1575304602,36,36
1575306530,35,35
1575308464,34,34
1575310380,36,36
1575314217,36,36
1575318033,34,34
1575319934,35,35
1575322129,37,37
1575326911,38,38
1575328819,39,39
1575330747,40,40
1575332658,42,42
1575336512,40,40
1575338494,41,41
1575342336,39,39
1575344195,38,38
1575346096,37,37
1575348015,36,36
1575349959,34,34
1575354024,31,31
1575357876,30,30
1575359771,29,29
1575365545,28,28
1575369643,26,26
1575373960,27,27
1575375872,28,28
1575377769,27,27
1575379943,30,30
1575382109,29,29
1575384015,28,28
1575385962,26,26
1575387856,25,25
1575389784,24,24
1575391737,23,23
1575393617,23,23
1575395567,22,22
1575397454,22,22
1575401309,24,24
1575404216,25,25
1575406360,25,25
1575408283,24,24
1575410174,29,29
1575412364,29,29
1575416189,28,28
1575418346,28,28
1575420269,27,27
1575422186,29,29
1575424095,29,29
1575426028,30,30
1575427958,33,33
1575429874,34,34
1575431787,33,33
1575440419,32,32
1575446227,33,33
1575448120,35,35
1575450072,36,36
1575459861,32,32
1575463717,32,32
1575465634,31,31
1575467537,29,29
1575469466,28,28
1575472616,29,29
1575476674,31,31
1575478583,33,33
1575480520,32,32
1575482490,31,31
1575484339,33,33
1575488173,31,31
1575490139,30,30
1575492017,31,31
1575493970,31,31
1575495855,30,30
1575498023,25,25
1575499933,24,24
1575503780,25,25
1575505700,25,25
1575507716,27,27
1575509569,25,25
1575511703,25,25
1575513615,22,22
1575515561,21,21
1575525369,23,23
1575533567,20,20
1575535459,19,19
1575545086,20,20
1575549143,21,21
1575551323,22,22
1575557311,21,21
1575559233,22,22
1575561134,23,23
1575563060,21,21
1575564982,21,21
1575570759,19,19
1575572681,18,18
1575576529,20,20
1575578440,20,20
1575580366,20,20
1575588022,21,21
1575591853,19,19
1575594984,17,17
1575598833,17,17
1575600760,16,16
1575602670,17,17
1575604581,19,19
1575611540,18,18
1575615389,19,19
1575617291,21,21
1575625237,23,23
1575629057,24,24
1575630987,25,25
1575632940,24,24
1575634822,25,25
1575636754,24,24
1575638654,24,24
1575646577,23,23
1575648541,24,24
1575650676,24,24
1575652589,25,25
1575663632,25,25
1575665553,25,25
1575667478,24,24
1575671319,25,25
1575674179,24,24
1575676341,24,24
1575680194,25,25
1575682116,28,28
1575685216,27,27
1575689073,26,26
1575691293,25,25
1575695319,28,28
1575697216,27,27
1575699164,28,28
1575701055,27,27
1575703009,26,26
1575704892,25,25
1575712576,23,23
1575714770,23,23
1575716926,22,22
1575722674,20,20
1575724587,20,20
1575726504,22,22
1575730356,23,23
1575736363,21,21
1575738317,19,19
1575746196,20,20
1575748344,19,19
1575750287,18,18
1575756343,19,19
1575762271,21,21
1575766338,20,20
1575768262,18,18
1575770195,17,17
1575775219,18,18
1575777153,19,19
1575781015,18,18
1575785327,18,18
1575789397,20,20
1575795379,21,21
1575801385,23,23
1575809550,24,24
1575811456,22,22
1575813392,21,21
1575817312,20,20
1575821335,20,20
1575825402,23,23
1575829229,24,24
1575831391,26,26
1575833302,27,27
1575836429,27,27
1575838341,26,26
1575840249,28,28
1575842205,27,27
1575844095,26,26
1575846992,27,27
1575848923,26,26
1575850824,29,29
1575854655,32,32
1575856607,33,33
1575861616,33,33
1575863536,32,32
1575865475,33,33
1575867392,33,33
1575869548,34,34
1575872423,35,35
1575874337,36,36
1575876274,36,36
1575878202,38,38
1575882329,38,38
1575884202,40,40
1575886133,41,41
1575888016,38,38
