DateTime,AddedIPs,RemovedIPs
1574856353,1,1
1574859947,0,2
1574863550,2,2
1574867160,1,4
1574870763,4,1
1574874372,1,1
1574877978,2,2
1574881575,1,1
1574885161,1,0
1574888767,1,0
1574892365,1,3
1574895971,1,4
1574899600,1,2
1574903171,1,3
1574906764,3,1
1574910371,6,0
1574913974,1,0
1574917573,2,4
1574921169,2,2
1574924772,1,3
1574928380,2,1
1574931971,0,2
1574935573,1,5
1574939170,3,3
1574942776,4,3
1574946366,3,4
1574949984,7,0
1574953575,1,2
1574957174,2,2
1574960787,3,1
1574964358,1,5
1574967973,1,0
1574971572,3,2
1574975176,1,1
1574978781,1,2
1574982378,0,1
1574985953,4,0
1574989572,0,1
1574993174,2,1
1574996778,2,1
1575000365,1,2
1575003978,2,1
1575007580,2,2
1575011180,2,3
1575014762,1,4
1575018373,2,2
1575021976,4,0
1575025582,0,3
1575029167,3,1
1575032785,3,5
1575036368,3,1
1575039971,3,1
1575043574,1,2
1575047180,0,2
1575050776,3,3
1575054365,0,1
1575057974,3,1
1575061574,1,1
1575065197,0,2
1575068789,1,0
1575072395,3,5
1575075980,3,2
1575079582,6,2
1575083174,1,2
1575086779,3,2
1575090390,0,3
1575093980,3,5
1575097563,3,3
1575101171,5,1
1575104792,1,0
1575108386,1,2
1575111978,2,3
1575115577,1,2
1575119177,3,0
1575122772,1,2
1575126365,1,1
1575129979,2,4
1575133580,2,4
1575137170,4,2
1575140772,2,2
1575144393,2,1
1575147978,1,3
1575151586,4,1
1575155174,0,2
1575158763,3,3
1575162390,1,1
1575165976,2,0
1575169572,3,1
1575173177,3,2
1575176775,0,2
1575180376,0,2
1575183985,0,1
1575187579,1,0
1575194779,1,2
1575198381,2,1
1575205577,2,1
1575209190,1,1
1575212798,1,2
1575216368,2,4
1575219977,5,1
1575223570,0,1
1575227194,1,2
1575230777,2,3
1575234381,2,1
1575237984,1,1
1575241575,4,2
1575245179,1,2
1575252374,0,2
1575255976,1,0
1575259571,1,3
1575263175,2,0
1575273965,2,1
1575277571,2,3
1575281168,2,1
1575284770,2,1
1575288373,2,1
1575291976,2,3
1575295570,1,1
1575299178,3,0
1575302770,2,2
1575306376,0,3
1575309968,0,5
1575313561,2,2
1575317164,3,0
1575320743,0,2
1575324382,0,3
1575327969,0,3
1575331587,2,0
1575335159,1,2
1575338767,5,1
1575342367,1,1
1575345968,4,2
1575349568,4,3
1575353174,2,2
1575356780,3,3
1575360361,4,2
1575363978,4,2
1575367570,2,1
1575371165,0,3
1575374757,1,5
1575378368,2,2
1575381966,2,1
1575385567,4,1
1575389154,2,5
1575392768,4,4
1575396372,4,2
1575399969,4,2
1575403566,1,3
1575407178,1,1
1575410772,0,3
1575414372,5,3
1575417967,2,2
1575421583,4,2
1575425179,1,0
1575428766,1,4
1575432378,3,2
1575435966,1,4
1575439567,4,2
1575443171,3,1
1575446756,1,0
1575450369,1,4
1575453954,3,2
1575457551,1,1
1575461152,2,3
1575464748,3,1
1575468374,2,2
1575471965,1,2
1575475566,0,2
1575479154,3,4
1575482748,2,0
1575486374,1,2
1575489965,2,1
1575493579,0,3
1575497161,2,2
1575500759,1,2
1575504393,4,0
1575511575,2,1
1575515166,0,1
1575518762,1,2
1575522361,2,3
1575525960,3,2
1575529559,2,0
1575533177,3,3
1575536753,1,1
1575540368,2,3
1575543961,3,2
1575547565,2,1
1575551160,3,1
1575554772,0,4
1575558373,4,5
1575561980,4,1
1575565574,1,1
1575569156,1,1
1575572774,2,4
1575576378,3,2
1575579979,0,2
1575583572,1,2
1575587168,2,2
1575594350,1,0
1575597958,1,2
1575601570,2,0
1575605181,2,2
1575608766,4,2
1575612355,1,0
1575615959,2,1
1575619563,1,4
1575623161,1,3
1575626763,3,1
1575630351,3,2
1575633964,1,2
1575637565,2,2
1575641168,1,1
1575644761,0,4
1575648369,2,1
1575651969,3,2
1575655550,0,3
1575659159,2,0
1575662766,0,1
1575666357,2,1
1575669965,3,5
1575673566,2,1
1575677181,5,3
1575680754,1,3
1575684361,3,0
1575687967,0,2
1575691565,1,1
1575695166,1,2
1575698769,3,2
1575702354,0,2
1575705965,1,2
1575709561,1,1
1575713163,3,2
1575716763,1,2
1575720365,1,2
1575723971,4,1
1575727565,2,0
1575731171,3,2
1575734761,4,1
1575738362,1,2
1575741976,0,2
1575745557,2,3
1575752765,1,1
1575759970,1,3
1575763586,0,1
1575767179,2,2
1575770763,2,3
1575774378,2,1
1575777968,3,0
1575781568,1,3
1575785174,1,2
1575788773,2,2
1575792363,1,0
1575795972,1,0
1575799571,2,0
1575803167,2,0
1575806755,2,2
1575810378,3,4
1575813972,2,3
1575817578,1,1
1575821172,5,3
1575824765,0,3
1575828364,3,0
1575831970,1,3
1575835582,1,3
1575839179,2,1
1575842778,0,3
1575846374,1,0
1575849953,2,0
1575853558,1,0
1575857169,1,1
1575860759,2,2
1575864376,0,1
1575867955,5,6
1575871565,4,2
1575875163,5,5
1575878756,4,0
1575882360,2,3
1575885962,3,1
1575889562,2,3
