DateTime,Entries,UniqueIPs
1572140419,2,2
1572160108,3,3
1572173851,2,2
1572246075,1,1
1572252512,2,2
1572273147,1,1
1572335800,0,0
1572350915,1,1
1572366506,2,2
1572394606,3,3
1572438523,2,2
1572453863,1,1
1572457945,2,2
1572481458,1,1
1572542662,0,0
1572682123,1,1
1572767066,0,0
1572816266,1,1
1572862126,2,2
1572904123,1,1
1572933730,2,2
1572947783,1,1
1573017863,0,0
1573025069,1,1
1573097071,2,2
1573106893,3,3
1573112659,2,2
1573183241,1,1
1573192904,0,0
1573231235,1,1
1573249233,2,2
1573317664,1,1
1573333316,0,0
1573345709,1,1
1573350738,2,2
1573433543,1,1
1573505540,1,1
1573564397,2,2
1573593647,1,1
1573648117,0,0
1573689881,1,1
1573723730,2,2
1573776158,1,1
1573806976,2,2
1573808941,1,1
1573889792,0,0
1573896022,1,1
1573912381,2,2
1573982423,1,1
1573996592,0,0
1574040028,1,1
1574082775,2,2
1574092577,3,3
1574118300,5,5
1574122112,6,6
1574128104,6,6
1574130021,8,8
1574131946,9,9
1574133854,10,10
1574139132,11,11
1574141074,12,12
1574145143,13,13
1574151409,14,14
1574157157,15,15
1574168186,14,14
1574170343,15,15
1574174440,16,16
1574178502,15,15
1574182366,16,16
1574186212,17,17
1574194830,18,18
1574204543,18,18
1574206591,17,17
1574208743,16,16
1574210651,17,17
1574214512,16,16
1574216415,14,14
1574218329,13,13
1574220275,12,12
1574226331,11,11
1574228196,10,10
1574232022,9,9
1574237793,8,8
1574241860,7,7
1574256517,7,7
1574260354,6,6
1574270183,5,5
1574272340,4,4
1574281212,5,5
1574286979,6,6
1574290952,5,5
1574298759,6,6
1574310083,5,5
1574343155,4,4
1574356591,3,3
1574366931,2,2
1574373146,2,2
1574385159,2,2
1574458348,1,1
1574470099,0,0
1574495058,1,1
1574506597,2,2
1574510917,3,3
1574551707,4,4
1574553662,5,5
1574582691,4,4
1574590365,5,5
1574594428,4,4
1574598259,3,3
1574621796,4,4
1574639320,3,3
1574641231,2,2
1574645067,3,3
1574676534,2,2
1574692355,3,3
1574700519,4,4
1574708177,3,3
1574731699,2,2
1574742744,4,4
1574788596,2,2
1574827726,0,0
1574887220,1,1
1574973170,0,0
1575198522,1,1
1575202334,2,2
1575232364,3,3
1575238594,4,4
1575286094,3,3
1575288992,2,2
1575318033,1,1
1575322129,0,0
1575449051,1,1
1575484339,2,2
1575495856,3,3
1575535459,2,2
1575570759,1,1
1575580366,0,0
1575689543,1,1
1575774073,0,0
1575820898,3,3
1575822758,7,7
1575824910,14,14
1575826811,20,20
1575828743,24,24
1575830680,28,28
1575832832,32,32
1575834732,34,34
1575836656,41,41
1575838577,42,42
1575840494,44,44
1575842441,48,48
1575844340,50,50
1575847474,55,55
1575849368,57,57
1575851305,61,61
1575857096,64,64
1575859000,65,65
1575861166,66,66
1575865219,68,68
1575867131,69,69
1575869072,70,70
1575870966,72,72
1575873147,74,74
1575875105,75,75
1575878901,76,76
1575882741,77,77
1575888513,80,80
